order_id,user_id,cart_value,cart_size,hour_bucket,weekend_flag
0,1321,524.78,3,dinner,0
1,2781,383.41,2,dinner,0
2,314,550.22,1,lunch,0
3,1660,476.58,1,dinner,1
4,124,653.99,2,lunch,0
5,32,238.17,1,lunch,0
6,846,279.75,2,lunch,0
7,2646,252.11,2,lunch,1
8,333,653.34,3,dinner,0
9,2086,397.33,1,lunch,0
10,1867,523.03,3,dinner,1
11,833,520.17,1,lunch,0
12,2037,516.54,1,late,0
13,651,384.71,2,dinner,1
14,261,624.96,2,dinner,1
15,316,343.2,1,dinner,0
16,2890,571.25,1,dinner,0
17,1500,299.51,3,dinner,0
18,2333,367.36,2,lunch,0
19,1235,378.21,2,late,0
20,2333,296.98,2,dinner,1
21,2977,269.14,1,dinner,1
22,2461,255.8,1,dinner,0
23,2502,226.48,1,dinner,0
24,1727,224.68,1,lunch,0
25,1082,469.11,1,dinner,0
26,1228,314.44,1,lunch,0
27,1415,670.54,1,dinner,0
28,2614,370.45,3,dinner,0
29,1662,513.67,2,lunch,0
30,238,588.39,3,lunch,0
31,512,440.35,2,lunch,1
32,2556,465.27,1,dinner,1
33,2469,413.11,2,lunch,0
34,1579,362.19,2,lunch,0
35,672,381.53,2,lunch,0
36,2689,513.12,1,late,1
37,128,603.61,2,lunch,0
38,1797,592.93,1,lunch,0
39,1025,309.29,1,lunch,0
40,906,370.38,1,dinner,0
41,555,732.23,2,dinner,1
42,2894,557.28,2,lunch,0
43,687,430.84,2,dinner,0
44,626,498.32,1,dinner,0
45,2802,558.4,3,late,1
46,595,246.18,1,lunch,0
47,1786,437.27,1,lunch,1
48,967,368.9,2,dinner,0
49,1166,413.75,2,lunch,0
50,2588,425.86,2,dinner,1
51,1570,590.36,2,dinner,0
52,980,323.62,2,lunch,0
53,2523,489.72,3,lunch,0
54,2122,289.48,1,dinner,0
55,1114,447.62,1,dinner,0
56,2827,353.31,3,lunch,0
57,916,397.52,2,lunch,1
58,51,353.57,1,dinner,1
59,1510,372.02,1,late,0
60,67,490.74,1,dinner,1
61,768,270.04,1,late,1
62,1939,310.17,3,dinner,0
63,1625,418.56,3,dinner,1
64,1387,395.7,3,lunch,0
65,2587,339.85,2,lunch,0
66,2054,303.3,2,dinner,1
67,2907,479.03,2,lunch,0
68,2305,472.43,3,dinner,1
69,2734,429.61,1,dinner,0
70,1178,324.1,3,late,0
71,345,590.8,2,dinner,0
72,115,508.59,1,lunch,0
73,48,641.51,2,lunch,0
74,341,587.31,2,dinner,1
75,2031,269.26,2,dinner,1
76,2486,375.73,1,dinner,1
77,332,541.59,1,late,0
78,996,297.66,2,dinner,0
79,2186,590.48,1,lunch,1
80,1485,419.24,1,dinner,0
81,1290,493.5,2,late,1
82,2998,647.59,2,dinner,0
83,2786,465.68,2,late,0
84,2875,339.08,3,lunch,0
85,2791,617.2,1,lunch,0
86,16,492.18,1,dinner,1
87,2179,519.25,1,dinner,0
88,236,462.04,1,dinner,1
89,2438,713.89,3,dinner,1
90,2090,429.89,2,dinner,0
91,2819,391.41,2,late,0
92,1608,615.73,2,lunch,1
93,2178,510.36,2,dinner,0
94,2837,456.28,1,lunch,0
95,263,545.27,2,dinner,0
96,931,265.02,2,dinner,1
97,897,301.52,3,dinner,0
98,813,247.66,1,dinner,0
99,729,567.94,1,lunch,1
100,2852,355.64,2,dinner,0
101,703,596.17,3,dinner,1
102,1251,442.94,1,dinner,0
103,1648,336.12,1,dinner,0
104,1080,490.15,2,dinner,0
105,240,360.98,2,lunch,0
106,1914,598.29,1,lunch,0
107,757,442.58,1,lunch,0
108,2469,307.64,3,dinner,0
109,2547,429.42,1,dinner,1
110,52,596.87,2,dinner,1
111,569,501.78,2,dinner,0
112,2879,599.54,1,late,0
113,2576,449.14,1,dinner,0
114,941,630.51,2,dinner,0
115,69,456.61,1,dinner,0
116,2021,478.51,1,dinner,0
117,163,298.05,1,lunch,0
118,14,407.79,1,dinner,0
119,945,414.35,3,lunch,0
120,469,452.48,2,dinner,0
121,867,498.59,2,dinner,0
122,58,522.99,1,dinner,1
123,2926,338.98,1,dinner,0
124,682,665.24,2,dinner,0
125,2520,716.57,2,lunch,1
126,1769,492.62,1,lunch,1
127,2935,359.13,2,late,0
128,551,684.58,3,dinner,1
129,2902,492.25,2,dinner,1
130,754,306.3,2,dinner,0
131,1544,580.99,3,dinner,1
132,499,532.29,2,dinner,0
133,2101,491.97,1,lunch,0
134,140,487.33,1,lunch,1
135,607,274.82,2,lunch,0
136,301,463.35,1,dinner,0
137,1731,393.75,1,dinner,0
138,782,357.18,3,dinner,0
139,2495,464.78,1,dinner,1
140,1343,276.87,1,lunch,0
141,698,514.6,1,lunch,1
142,2475,330.77,1,lunch,0
143,1287,489.42,1,dinner,0
144,1866,392.28,3,lunch,0
145,516,375.47,2,lunch,1
146,2122,614.66,1,dinner,1
147,1032,345.83,3,lunch,0
148,2820,439.56,1,dinner,0
149,477,479.56,2,lunch,0
150,1653,360.43,1,dinner,0
151,1846,318.97,3,dinner,0
152,1761,324.01,2,dinner,0
153,2955,528.18,3,lunch,0
154,656,285.27,2,lunch,0
155,2068,374.11,3,lunch,0
156,2136,336.47,2,lunch,0
157,2067,482.06,2,lunch,1
158,349,493.15,2,lunch,1
159,1865,315.02,2,lunch,0
160,2020,479.82,1,dinner,0
161,2275,593.08,1,lunch,0
162,188,370.09,3,lunch,0
163,1313,338.72,3,lunch,0
164,723,682.85,2,lunch,0
165,1670,439.96,3,lunch,0
166,1954,340.71,1,late,0
167,2827,423.9,2,dinner,0
168,2879,618.39,2,dinner,1
169,1440,390.65,2,dinner,0
170,2844,471.66,1,dinner,0
171,1296,539.44,3,dinner,0
172,1689,426.92,2,dinner,1
173,2797,445.66,1,dinner,0
174,1550,461.01,1,dinner,0
175,1633,502.88,2,dinner,0
176,236,486.45,3,dinner,0
177,1258,238.99,3,dinner,0
178,143,361.39,2,dinner,0
179,2171,431.61,1,late,0
180,1473,481.06,1,dinner,0
181,1012,445.15,1,dinner,0
182,2616,307.45,1,lunch,0
183,2151,494.44,2,dinner,0
184,1748,416.82,2,dinner,1
185,1797,435.7,2,dinner,0
186,1609,377.69,2,dinner,0
187,1546,427.42,1,late,0
188,1880,391.82,2,dinner,0
189,57,665.17,2,dinner,0
190,1110,540.07,1,lunch,0
191,262,518.35,1,dinner,0
192,1411,488.6,1,dinner,0
193,1920,534.17,2,dinner,0
194,97,454.94,2,dinner,0
195,2942,574.87,2,late,0
196,742,445.05,1,late,0
197,2694,671.54,2,dinner,1
198,1497,423.39,2,lunch,0
199,767,412.29,1,dinner,1
200,2136,518.63,3,dinner,1
201,1610,361.8,1,lunch,0
202,1914,502.42,2,dinner,1
203,1932,498.66,3,late,0
204,879,560.59,2,dinner,1
205,2072,445.14,2,lunch,1
206,100,444.52,3,dinner,1
207,376,484.54,3,lunch,0
208,1212,418.9,2,dinner,1
209,158,289.62,2,dinner,0
210,1824,325.8,1,lunch,0
211,1148,433.81,2,dinner,0
212,1521,353.49,3,lunch,0
213,1886,468.72,2,dinner,1
214,1152,561.62,2,late,0
215,1244,474.39,1,dinner,0
216,2974,536.03,2,late,0
217,226,572.97,2,late,0
218,498,509.26,1,lunch,0
