order_id,user_id,item_id,user_segment,cart_value,cart_size,hour_bucket,weekend_flag,item_price,item_margin,popularity_score,category_match_flag,accepted,predicted_prob
0,1321,220,1,524.78,3,0,0,163.73,0.5,0.201,1,0,0.21713717
0,1321,229,1,524.78,3,0,0,216.79,0.53,0.271,1,0,0.31336817
0,1321,285,1,524.78,3,0,0,446.82,0.34,0.107,0,0,0.07088327
1,2781,197,0,383.41,2,0,0,421.45,0.31,0.072,0,0,6.5597684e-05
1,2781,293,0,383.41,2,0,0,263.06,0.33,0.418,0,0,0.00012635127
1,2781,292,0,383.41,2,0,0,238.75,0.5,0.163,1,0,0.1761412
2,314,31,1,550.22,1,2,0,131.75,0.53,0.868,1,0,0.13463008
2,314,262,1,550.22,1,2,0,285.65,0.25,0.494,0,1,0.14034005
2,314,132,1,550.22,1,2,0,141.65,0.49,0.566,0,0,0.047901157
3,1660,146,0,476.58,1,0,1,268.11,0.28,0.644,0,0,9.673756e-05
3,1660,68,0,476.58,1,0,1,249.71,0.36,0.441,0,0,0.0004666312
3,1660,235,0,476.58,1,0,1,451.07,0.3,0.267,0,0,0.00047318154
4,124,57,0,653.99,2,2,0,117.81,0.68,0.188,1,1,0.3131656
4,124,177,0,653.99,2,2,0,129.85,0.52,0.614,1,0,0.16854393
4,124,174,0,653.99,2,2,0,163.97,0.5,0.68,1,0,0.12538105
5,32,39,0,238.17,1,2,0,211.37,0.29,0.131,0,0,0.00014578804
5,32,182,0,238.17,1,2,0,265.76,0.46,0.026,1,1,0.53077686
5,32,140,0,238.17,1,2,0,244.51,0.41,0.963,1,0,0.27710015
6,846,11,0,279.75,2,2,0,462.7,0.22,0.792,0,0,0.00012973149
6,846,2,0,279.75,2,2,0,235.95,0.33,0.779,0,0,0.00027779778
6,846,288,0,279.75,2,2,0,224.33,0.32,0.325,0,0,0.0003557415
7,2646,112,0,252.11,2,2,1,206.29,0.42,0.43,0,0,0.0017494655
7,2646,190,0,252.11,2,2,1,136.78,0.44,0.902,1,0,0.24718918
7,2646,86,0,252.11,2,2,1,321.81,0.3,0.728,0,0,0.00037041254
8,333,218,1,653.34,3,0,0,172.28,0.58,0.403,1,0,0.11672918
8,333,224,1,653.34,3,0,0,210.22,0.5,0.073,1,1,0.77804995
8,333,193,1,653.34,3,0,0,208.4,0.45,0.102,1,1,0.55143833
9,2086,288,1,397.33,1,2,0,224.33,0.32,0.325,0,0,0.14835523
9,2086,105,1,397.33,1,2,0,370.71,0.21,0.514,0,0,0.020500591
9,2086,113,1,397.33,1,2,0,176.15,0.64,0.315,1,0,0.16787888
10,1867,214,0,523.03,3,0,1,211.2,0.32,0.837,0,0,0.00039943104
10,1867,69,0,523.03,3,0,1,110.22,0.51,0.434,1,0,0.2187134
10,1867,251,0,523.03,3,0,1,156.9,0.37,0.803,0,0,0.044984274
11,833,84,0,520.17,1,2,0,110.81,0.49,0.104,0,0,0.045034036
11,833,88,0,520.17,1,2,0,245.46,0.4,0.694,0,0,0.000807357
11,833,184,0,520.17,1,2,0,223.54,0.46,0.379,0,0,0.0004581967
12,2037,179,0,516.54,1,1,0,163.1,0.36,0.387,0,0,0.037660014
12,2037,37,0,516.54,1,1,0,295.37,0.46,0.91,1,0,0.11718656
12,2037,219,0,516.54,1,1,0,284.0,0.52,0.305,1,0,0.14042889
13,651,219,0,384.71,2,0,1,284.0,0.52,0.305,1,0,0.1875789
13,651,153,0,384.71,2,0,1,171.24,0.58,0.319,1,0,0.14189002
13,651,66,0,384.71,2,0,1,395.59,0.34,0.833,0,0,2.4614288e-05
14,261,285,1,624.96,2,0,1,446.82,0.34,0.107,0,0,0.03168454
14,261,207,1,624.96,2,0,1,336.56,0.27,0.428,0,0,0.23847188
14,261,30,1,624.96,2,0,1,177.34,0.6,0.552,1,0,0.5422628
15,316,109,0,343.2,1,0,0,200.81,0.5,0.712,0,0,0.0006827049
15,316,118,0,343.2,1,0,0,61.27,0.63,0.424,1,1,0.6074836
15,316,73,0,343.2,1,0,0,149.92,0.44,1.0,0,0,0.123694986
16,2890,127,0,571.25,1,0,0,115.65,0.52,0.458,1,1,0.45355144
16,2890,244,0,571.25,1,0,0,348.19,0.24,0.569,0,0,0.00011322714
16,2890,179,0,571.25,1,0,0,163.1,0.36,0.387,0,0,0.0064705582
17,1500,253,2,299.51,3,0,0,338.77,0.29,0.339,0,0,0.13197218
17,1500,176,2,299.51,3,0,0,234.93,0.53,0.63,1,1,0.6816914
17,1500,84,2,299.51,3,0,0,110.81,0.49,0.104,0,0,0.20478632
18,2333,207,0,367.36,2,2,0,336.56,0.27,0.428,0,0,5.5802167e-05
18,2333,44,0,367.36,2,2,0,264.68,0.47,0.519,1,0,0.14892463
18,2333,287,0,367.36,2,2,0,341.68,0.2,0.975,0,0,5.910942e-05
19,1235,150,1,378.21,2,1,0,242.57,0.35,0.022,0,0,0.076498285
19,1235,49,1,378.21,2,1,0,155.31,0.47,0.862,1,0,0.32277545
19,1235,33,1,378.21,2,1,0,480.94,0.34,0.969,0,0,0.0138630215
20,2333,182,0,296.98,2,0,1,265.76,0.46,0.026,1,0,0.22035895
20,2333,4,0,296.98,2,0,1,121.68,0.46,0.018,0,0,0.25675246
20,2333,143,0,296.98,2,0,1,68.12,0.7,0.699,1,0,0.33887452
21,2977,16,2,269.14,1,0,1,94.08,0.52,0.922,1,1,0.5896261
21,2977,213,2,269.14,1,0,1,442.77,0.32,0.195,0,1,0.5880682
21,2977,86,2,269.14,1,0,1,321.81,0.3,0.728,0,0,0.12591016
22,2461,64,0,255.8,1,0,0,279.7,0.34,0.458,0,0,0.00013045868
22,2461,290,0,255.8,1,0,0,496.19,0.32,0.993,0,0,3.5243447e-05
22,2461,121,0,255.8,1,0,0,205.13,0.26,0.228,0,0,6.8999274e-05
23,2502,148,0,226.48,1,0,0,339.83,0.25,0.766,0,0,0.00010387531
23,2502,265,0,226.48,1,0,0,212.32,0.21,0.325,0,0,0.00011917054
23,2502,98,0,226.48,1,0,0,366.41,0.22,0.447,0,0,6.0216124e-05
24,1727,183,1,224.68,1,2,0,270.45,0.21,0.589,0,0,0.42163572
24,1727,125,1,224.68,1,2,0,248.76,0.49,0.006,0,0,0.13075496
24,1727,286,1,224.68,1,2,0,146.06,0.65,0.905,1,0,0.07096737
25,1082,222,0,469.11,1,0,0,184.49,0.43,0.784,0,0,0.0017989144
25,1082,216,0,469.11,1,0,0,287.59,0.29,0.717,0,0,0.00013752279
25,1082,32,0,469.11,1,0,0,160.3,0.65,0.265,1,0,0.22778885
26,1228,269,0,314.44,1,2,0,113.32,0.52,0.619,1,0,0.2163642
26,1228,163,0,314.44,1,2,0,138.34,0.55,0.437,1,0,0.19493768
26,1228,174,0,314.44,1,2,0,163.97,0.5,0.68,1,1,0.2911906
27,1415,158,2,670.54,1,0,0,466.67,0.25,0.013,0,0,0.05282892
27,1415,13,2,670.54,1,0,0,87.13,0.45,0.307,0,0,0.04535289
27,1415,252,2,670.54,1,0,0,101.68,0.6,0.752,1,0,0.18695398
28,2614,14,0,370.45,3,0,0,65.84,0.64,0.787,1,0,0.30612507
28,2614,271,0,370.45,3,0,0,286.32,0.35,0.042,0,0,0.0001774542
28,2614,157,0,370.45,3,0,0,319.26,0.26,0.926,0,0,0.0001014211
29,1662,141,1,513.67,2,2,0,496.86,0.27,0.228,0,0,0.11053801
29,1662,96,1,513.67,2,2,0,81.64,0.68,0.169,1,0,0.3728196
29,1662,105,1,513.67,2,2,0,370.71,0.21,0.514,0,0,0.043399274
30,238,5,1,588.39,3,2,0,385.36,0.32,0.334,0,0,0.05925731
30,238,61,1,588.39,3,2,0,482.84,0.24,0.923,0,0,0.033195637
30,238,153,1,588.39,3,2,0,171.24,0.58,0.319,1,0,0.18481158
31,512,58,0,440.35,2,2,1,248.04,0.2,0.423,0,0,0.0001410698
31,512,11,0,440.35,2,2,1,462.7,0.22,0.792,0,0,0.00018598177
31,512,75,0,440.35,2,2,1,84.63,0.64,0.741,1,0,0.1910938
