order_id,user_id,item_id,user_segment,cart_value,cart_size,hour_bucket,weekend_flag,item_price,item_margin,popularity_score,category_match_flag,accepted
0,1321,220,mid,524.78,3,dinner,0,163.73,0.5,0.201,1,0
0,1321,229,mid,524.78,3,dinner,0,216.79,0.53,0.271,1,0
0,1321,285,mid,524.78,3,dinner,0,446.82,0.34,0.107,0,0
1,2781,197,budget,383.41,2,dinner,0,421.45,0.31,0.072,0,0
1,2781,293,budget,383.41,2,dinner,0,263.06,0.33,0.418,0,0
1,2781,292,budget,383.41,2,dinner,0,238.75,0.5,0.163,1,0
2,314,31,mid,550.22,1,lunch,0,131.75,0.53,0.868,1,0
2,314,262,mid,550.22,1,lunch,0,285.65,0.25,0.494,0,1
2,314,132,mid,550.22,1,lunch,0,141.65,0.49,0.566,0,0
3,1660,146,budget,476.58,1,dinner,1,268.11,0.28,0.644,0,0
3,1660,68,budget,476.58,1,dinner,1,249.71,0.36,0.441,0,0
3,1660,235,budget,476.58,1,dinner,1,451.07,0.3,0.267,0,0
4,124,57,budget,653.99,2,lunch,0,117.81,0.68,0.188,1,1
4,124,177,budget,653.99,2,lunch,0,129.85,0.52,0.614,1,0
4,124,174,budget,653.99,2,lunch,0,163.97,0.5,0.68,1,0
5,32,39,budget,238.17,1,lunch,0,211.37,0.29,0.131,0,0
5,32,182,budget,238.17,1,lunch,0,265.76,0.46,0.026,1,1
5,32,140,budget,238.17,1,lunch,0,244.51,0.41,0.963,1,0
6,846,11,budget,279.75,2,lunch,0,462.7,0.22,0.792,0,0
6,846,2,budget,279.75,2,lunch,0,235.95,0.33,0.779,0,0
6,846,288,budget,279.75,2,lunch,0,224.33,0.32,0.325,0,0
7,2646,112,budget,252.11,2,lunch,1,206.29,0.42,0.43,0,0
7,2646,190,budget,252.11,2,lunch,1,136.78,0.44,0.902,1,0
7,2646,86,budget,252.11,2,lunch,1,321.81,0.3,0.728,0,0
8,333,218,mid,653.34,3,dinner,0,172.28,0.58,0.403,1,0
8,333,224,mid,653.34,3,dinner,0,210.22,0.5,0.073,1,1
8,333,193,mid,653.34,3,dinner,0,208.4,0.45,0.102,1,1
9,2086,288,mid,397.33,1,lunch,0,224.33,0.32,0.325,0,0
9,2086,105,mid,397.33,1,lunch,0,370.71,0.21,0.514,0,0
9,2086,113,mid,397.33,1,lunch,0,176.15,0.64,0.315,1,0
10,1867,214,budget,523.03,3,dinner,1,211.2,0.32,0.837,0,0
10,1867,69,budget,523.03,3,dinner,1,110.22,0.51,0.434,1,0
10,1867,251,budget,523.03,3,dinner,1,156.9,0.37,0.803,0,0
11,833,84,budget,520.17,1,lunch,0,110.81,0.49,0.104,0,0
11,833,88,budget,520.17,1,lunch,0,245.46,0.4,0.694,0,0
11,833,184,budget,520.17,1,lunch,0,223.54,0.46,0.379,0,0
