user_id,segment,avg_order_value,order_frequency,veg_preference,city_tier
0,budget,194.40599409765397,4,0,tier1
1,budget,265.94510923446916,5,1,tier1
2,premium,643.6630736878058,10,1,tier1
3,budget,277.1280021792982,2,0,tier1
4,budget,204.59879622393944,3,0,tier1
5,budget,179.38481493323542,5,1,tier1
6,mid,351.97969199152703,8,0,tier1
7,mid,475.7951856837311,7,1,tier1
8,premium,798.7053894523826,7,1,tier1
9,budget,188.9578175014489,2,1,tier2
10,premium,726.2365979264634,13,1,tier1
11,premium,805.8113246738333,10,0,tier1
12,mid,292.2657522110923,7,0,tier1
13,budget,205.9704366976447,2,1,tier2
14,budget,301.5499761247975,2,1,tier2
15,mid,474.5024095292959,7,1,tier1
16,budget,241.11339393646725,5,1,tier1
17,budget,229.48083456568497,4,1,tier1
18,mid,428.9116484406731,9,1,tier1
19,budget,326.90182832329845,3,1,tier1
20,mid,610.6822576489699,7,1,tier1
21,budget,198.74545555945676,4,0,tier2
22,budget,285.24906556663603,3,1,tier1
23,mid,428.87387020729085,7,0,tier1
24,mid,338.0765655402797,4,0,tier1
25,budget,232.0110927354006,3,0,tier1
26,budget,256.35061196858993,3,0,tier1
27,budget,187.52781386000368,4,0,tier1
28,budget,216.86308433108934,3,1,tier1
29,budget,242.6763596629192,2,0,tier2
30,budget,246.78109745995167,4,0,tier2
31,budget,267.2451167522364,3,1,tier1
32,budget,211.86865178924242,5,0,tier2
33,budget,258.43296935966475,5,1,tier1
34,mid,364.5758124075486,6,0,tier1
35,budget,268.9113307370426,4,0,tier2
36,mid,342.3761605712949,4,1,tier1
37,premium,667.6079477109171,6,1,tier2
38,budget,343.615955866036,4,1,tier2
39,budget,269.8186970032221,5,0,tier2
40,premium,820.0582729314526,12,0,tier1
41,mid,412.19366898074077,6,1,tier1
42,mid,452.24386488398085,9,0,tier1
43,mid,488.2149972370169,8,0,tier1
44,budget,257.53295217416405,5,1,tier1
45,budget,249.21425300737766,5,0,tier2
46,mid,433.4494817564469,6,0,tier1
47,budget,155.67359771071807,3,1,tier1
48,premium,467.63485480184795,6,1,tier1
49,budget,207.6321235943678,2,1,tier1
50,mid,257.3399150267581,9,0,tier1
51,premium,670.8238647511581,6,1,tier1
52,premium,673.9051627715171,12,0,tier1
53,budget,226.23713257997622,3,1,tier1
54,budget,261.5476861472566,3,0,tier1
55,budget,209.55315543048195,3,1,tier1
56,mid,289.7864505634327,5,1,tier2
57,premium,587.4609952101853,12,1,tier2
58,mid,476.3201410794562,7,1,tier1
59,budget,282.5695625652899,5,1,tier1
60,budget,160.57517475097518,3,1,tier1
61,budget,267.8652270968317,4,0,tier1
62,budget,214.2348145370016,2,1,tier2
63,budget,283.9798874467338,3,1,tier1
64,mid,401.2114622607891,9,0,tier1
65,budget,272.1037008433366,3,0,tier1
66,premium,760.5984734776548,10,0,tier2
67,budget,293.2877597085061,5,1,tier2
68,mid,430.18370123683275,9,1,tier1
69,budget,332.5675493239745,4,1,tier1
70,budget,272.1909714073114,5,0,tier2
71,mid,461.97072427434694,7,0,tier1
72,budget,327.1533825929542,3,0,tier1
73,premium,858.7916568581484,6,1,tier1
74,mid,427.5254505121618,7,1,tier1
75,mid,474.0986034308027,4,1,tier2
76,mid,440.1141405620865,6,0,tier1
77,budget,303.03192894107053,3,0,tier1
78,budget,192.22420449552578,3,0,tier2
79,budget,328.50553110194267,5,1,tier1
80,premium,689.1905640183752,14,1,tier1
81,budget,224.7059973382853,4,1,tier1
82,budget,216.53986359093935,3,1,tier1
83,mid,492.954985419742,4,0,tier1
84,budget,127.17034271133028,2,1,tier1
85,budget,246.1733969324227,2,1,tier1
86,premium,675.9754125122716,10,0,tier1
87,budget,351.2360499000504,2,1,tier2
88,mid,399.0202581722468,9,1,tier1
89,mid,328.21965028113345,6,1,tier2
90,mid,407.2058069585329,9,0,tier2
91,budget,254.13652179002395,3,1,tier1
92,budget,272.2753450640692,2,0,tier2
93,premium,524.5892012757133,14,1,tier1
94,mid,212.83227490852812,6,0,tier1
95,budget,232.4231600689775,2,0,tier1
96,budget,313.55691129904574,2,0,tier1
